Future.ID,Run.ID,time,Are.N,Ace.N,Are.S,Ace.S,S,RelPrice_N,RelLabor_N,Labor.re_N,Price.re_N,Agg.demand.re.tech_N,Profits.re_N,Yre_N,sre_N,Labor.ce_N,Price.ce_N,Agg.demand.ce.tech_N,Profits.ce_N,Yce_N,sce_N,Y_N,RelPrice_S,RelLabor_S,Labor.re_S,Price.re_S,Agg.demand.re.tech_S,Profits.re_S,Yre_S,sre_S,Labor.ce_S,Price.ce_S,Agg.demand.ce.tech_S,Profits.ce_S,Yce_S,sce_S,Y_S,Delta.Temp,Gamma.re.t_N,Gamma.re.t_S,Gamma.ce.t_N,Gamma.ce.t_S,L_N,L_S,Consumption_N,Consumption_S,Utility.Consumer_N,Utility.Consumer_S,CO2.Concentration,Cost.S.Damage,policy.status,dS.lag,Budget.function.N,Budget.function.S,Budget.N,Budget.S,time.300yr,Are.N.300yr,Ace.N.300yr,Are.S.300yr,Ace.S.300yr,S.300yr,RelPrice_N.300yr,RelLabor_N.300yr,Labor.re_N.300yr,Price.re_N.300yr,Agg.demand.re.tech_N.300yr,Profits.re_N.300yr,Yre_N.300yr,sre_N.300yr,Labor.ce_N.300yr,Price.ce_N.300yr,Agg.demand.ce.tech_N.300yr,Profits.ce_N.300yr,Yce_N.300yr,sce_N.300yr,Y_N.300yr,RelPrice_S.300yr,RelLabor_S.300yr,Labor.re_S.300yr,Price.re_S.300yr,Agg.demand.re.tech_S.300yr,Profits.re_S.300yr,Yre_S.300yr,sre_S.300yr,Labor.ce_S.300yr,Price.ce_S.300yr,Agg.demand.ce.tech_S.300yr,Profits.ce_S.300yr,Yce_S.300yr,sce_S.300yr,Y_S.300yr,Delta.Temp.300yr,Gamma.re.t_N.300yr,Gamma.re.t_S.300yr,Gamma.ce.t_N.300yr,Gamma.ce.t_S.300yr,L_N.300yr,L_S.300yr,Consumption_N.300yr,Consumption_S.300yr,Utility.Consumer_N.300yr,Utility.Consumer_S.300yr,CO2.Concentration.300yr,Cost.S.Damage.300yr,policy.status.300yr,dS.lag.300yr,Budget.function.N.300yr,Budget.function.S.300yr,Budget.N.300yr,Budget.S.300yr,Y.Total_N,Y.Total_S,Consumption.Total_N,Consumption.Total_S,Utility.Consumer.Total_N,Utility.Consumer.Total_S,Y.Total_N.300,Y.Total_S.300,Consumption.Total_N.300,Consumption.Total_S.300,Utility.Consumer.Total_N.300,Utility.Consumer.Total_S.300,Policy.Start.Time,Policy.Duration,ce.tax_N,RD.subsidy_N,RD.subsidy.GF_N,Tec.subsidy_N,Tec.subsidy.GF_N,ce.tax_S,RD.subsidy_S,Tec.subsidy_S,CO2.GrowthRate,Climate.Coef,CO2.2032,CO2.2042,CO2.2052,CO2.2062,CO2.2072,CO2.2082,CO2.2092,Delta.Temp.2032,Delta.Temp.2042,Delta.Temp.2052,Delta.Temp.2062,Delta.Temp.2072,Delta.Temp.2082,Delta.Temp.2092,Delta.Temp.2097,Delta.Temp.2102,Delta.Temp.2107,Delta.Temp.2112,Delta.Temp.Min.100yr,Delta.Temp.Max.300yr,Delta.Temp.GrowthRate,epsilon,rho,alfa,Eta.re,Eta.ce,Gamma.re,Gamma.ce,Nu.re,Nu.ce,k.re,k.ce,labor.growth_N,labor.growth_S,lambda.S,sigma.utility,Yre.0_N,Yce.0_N,Yre.0_S,Yce.0_S,size.factor,TimeStep,EndTime,Climate.Model,Beta.Delta.Temp,CO2.base,CO2.Disaster,Delta.Temp.Disaster,qsi,Delta.S,S.0,policy.name,Y.Total_N.fwa,Y.Total_S.fwa,Consumption.Total_N.fwa,Consumption.Total_S.fwa,Climate.Coef.fwa,CO2.GrowthRate.fwa,Delta.Temp.GrowthRate.fwa,Consumption.Total_N.300.fwa,Consumption.Total_S.300.fwa,policy.name.S,policy.name.N,Cop
1,1,2112,140.3364151,347.8872419,33.85788506,150.1472801,414.3620354,1.837213563,0.29626525,0.228552952,2.091734609,96.49954088,0.42672097,46.13374013,0.266273333,0.771447048,1.138536451,325.7200801,1.440334194,286.0866508,0.733726667,422.2196209,2.712655361,0.135897278,0.478554816,2.8911069,79.0218086,0.349434438,27.33271765,0.09780292,3.521445184,1.065784818,581.4819082,2.571312998,545.5903466,0.90219708,660.5037168,5.578862043,0.25,0.25,0.25,0.25,1,4,376.2399042,147.1437155,0.605526436,0.602785666,883.8541646,0.916922177,0,-7.544997531,0,0,0,0,2312,163.1679947,813.3329858,36.87625159,416.2376424,-2888.968481,2.933691108,0.116190663,0.104095713,3.099442453,91.90240832,0.40639245,29.65127106,0.043469969,0.895904287,1.056499249,790.9620767,3.497634303,748.6631698,0.956530031,882.864485,5.072690565,0.038861831,0.149632337,5.17031813,64.08012818,0.283362327,12.39384629,0.000903644,3.850367663,1.019245717,1648.922006,7.291533111,1617.786545,0.999096356,1713.002134,7.5,0.25,0.25,0.25,0.25,1,4,786.7205426,381.6140504,-100,-100,4187.184681,0,0,-28.88541414,0,0,0,0,7656.385141,10465.10074,6822.604799,2331.362818,16.4988813,16.3894876,32368.46743,55696.14711,28843.54133,12407.70917,-3078.681519,-3078.812721,0,0,0,0,0,0,0,0,0,0,25.08040323,0.002908592,446.8272187,484.9510213,527.2727101,574.037402,625.5011082,681.9308073,743.6045966,2.17027179,2.579410073,2.997513458,3.422146349,3.851186059,4.28280699,4.715458036,4.931753835,5.147836659,5.363578122,5.578862043,1.390195125,7.5,0.209433346,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,601,2112,156.6897266,311.5791561,46.75184836,125.8989449,678.180454,1.5849431,1.343527085,0.573292749,1.874044992,229.3777665,1.014308483,122.3971503,0.56447626,0.426707251,1.182405218,170.7280553,0.754959461,144.3904786,0.43552374,376.8666623,1.942001738,0.894900084,1.889070757,2.184346756,283.463492,1.253475562,129.7703724,0.46326328,2.110929243,1.12479135,316.7543474,1.400687724,281.6116496,0.53673672,568.1262115,3.80733207,0.25,0.25,0.25,0.25,1,4,333.2951383,125.6906222,0.902021789,0.897296507,620.035746,0.949007008,1,-3.029908523,85.36402765,158.3771737,5498.571221,10488.13754,2312,290.4812944,456.8622038,126.2060082,212.6354185,-242.8458102,1.354462326,1.839669964,0.6478464,1.683617591,409.5123646,1.810863676,243.2335982,0.695619039,0.3521536,1.243015445,222.600995,0.9843416,179.0814393,0.304380961,594.9343077,1.418378814,1.677603432,2.506126802,1.735453387,720.1381822,3.184451042,414.9567989,0.783509516,1.493873198,1.223547173,429.2660403,1.89821443,350.837344,0.216490484,1081.728992,6,0.25,0.25,0.25,0.25,1,4,526.0971628,239.1397181,-100,-100,1541.06201,0,1,-5.765274232,111.3004975,214.6330201,5498.571221,10488.13754,7081.077485,9495.818084,6266.821856,2102.306362,19.91661596,19.77608138,26342.58108,42553.15679,23300.09227,9412.416827,-2265.419107,-2265.628411,9.9,295,0.5,0,0,0,0,0.5,0,0,11.8894823,0.005124633,429.1813418,447.4028428,467.1923429,488.5727747,511.5657792,536.1914496,562.4680386,1.968928297,2.176705088,2.392985731,2.616590832,2.846394013,3.081330968,3.320405139,3.441201521,3.562690517,3.684767467,3.80733207,1.390195125,6,0.120856847,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,1201,2112,187.6570743,260.1620694,50.31133794,119.2290641,718.8981198,1.179688106,2.425154301,0.70804235,1.546500574,324.6243784,4.306467004,178.4226442,0.978190055,0.29195765,1.310940211,113.7786249,0.503129079,86.79162021,0.021809945,367.3888808,1.782624617,1.062072046,2.060203566,2.043954629,301.2769656,1.332246742,147.3990476,0.519455725,1.939796434,1.146598453,283.6690476,1.254384528,247.4005147,0.480544275,552.269065,3.467905031,0.25,0.25,0.25,0.25,1,4,319.6467938,122.1421111,0.901935871,0.897170938,579.3180802,0.960676323,1,-2.048438848,48.71559524,141.8345238,2295.836177,7170.613888,2312,501.8595292,264.4363945,215.0588126,147.7737597,393.2150307,0.650976281,2.359769969,0.702360576,1.193218387,458.8277429,2.028936279,384.5295613,0.762988394,0.297639424,1.832967531,194.4374871,0.859802568,106.0779767,0.237011606,653.2652299,0.777708514,1.653355687,2.492475012,1.26681906,762.9453204,3.373744207,602.2527954,0.791369576,1.507524988,1.628912425,461.452624,2.040543503,283.2887864,0.208630424,1224.397944,5.697013157,0.25,0.25,0.25,0.25,1,4,582.1246464,272.7652521,-100,-100,905.0011693,0.751041923,0,-3.198398663,0,0,2295.836177,7170.613888,7036.007458,9389.756593,6141.765156,2078.570839,19.91555766,19.77482246,26797.18834,42330.15549,23348.70016,9369.189904,-1055.786669,-1056.028236,9.9,285,0.5,2,0,0.15,0,0.5,0,0,9.853599011,0.006129458,428.2407497,444.8869,462.3573711,480.5675751,499.4266586,518.8374987,538.6967856,1.957964758,2.148525155,2.341001792,2.534036604,2.726387686,2.916925177,3.104625147,3.197118343,3.288562662,3.378856845,3.467905031,1.390195125,5.697013157,0.103885495,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhauds+TechnologyPolicy,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,1801,2112,187.6569454,260.1622484,61.64267163,103.046216,775.4073867,1.179689192,2.425149834,0.708041969,1.546501403,324.6242406,4.306465175,178.4224728,0.978190001,0.291958031,1.310939706,113.7787862,0.503129793,86.79177664,0.021809999,367.3889158,1.254276404,2.145296246,2.728259697,1.604122594,579.8141718,2.563938268,253.0167717,0.849071522,1.271740303,1.278922723,189.1906169,0.836600908,147.9296704,0.150928478,560.4251845,2.955028255,0.25,0.25,0.25,0.25,1,4,319.6468262,119.1701408,0.901976459,0.897087484,522.8088133,0.974093178,1,-0.955108234,39.24441485,75.65277945,1518.857613,2881.883088,2312,452.9098782,293.0161889,221.6824009,117.9550814,585.1724787,0.746946473,1.792342644,0.641877761,1.248170274,404.7216284,1.789679041,324.2519364,0.688081455,0.358122239,1.671030414,225.8059471,0.998513898,135.129765,0.311918545,630.5275755,0.655254849,2.329053758,2.798457372,1.195557994,809.8917934,3.58134151,677.4174045,0.885305488,1.201542628,1.824569472,347.7342637,1.537680914,190.5842825,0.114694512,1157.626057,4.505748218,0.25,0.25,0.25,0.25,1,4,561.8631225,257.8901449,-100,-100,713.0437213,0.914229193,0,-2.20701514,0,0,1518.857613,2881.883088,7036.008665,9520.795733,6141.766258,2042.200451,19.91582483,19.77244127,26540.85836,43626.48434,23273.99436,9419.403224,-1055.782251,-1056.018941,9.9,225,0.5,2,0,0.15,0.15,0.5,0,0.15,7.028135664,0.005785809,425.9958555,439.5185935,452.8975227,465.9867821,478.6492304,490.7606326,502.2133076,1.93170065,2.08786058,2.237701503,2.380074482,2.514049293,2.638917978,2.754192226,2.808136405,2.859592492,2.908554919,2.955028255,1.390195125,4.505748218,0.078241657,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+TraditionalGreenClimateFund,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,2401,2112,187.6568987,260.1623115,72.72653858,81.38959587,822.4351526,1.17968958,2.425148237,0.708041833,1.546501699,324.6241902,4.306464508,178.4224109,0.978189981,0.291958167,1.310939526,113.7788435,0.503130046,86.79183229,0.021810019,367.3889272,0.95858197,3.672952106,3.144010058,1.385236223,633.2911382,19.60289389,320.0203615,0.999999995,0.855989942,1.445088961,120.6941403,0.533709488,83.52021471,5.23E-09,534.8874395,2.484015656,0.25,0.25,0.25,0.25,1,4,319.6468368,113.1946107,0.902003019,0.896750982,475.7810474,0.983077741,1,-0.22196241,29.96965827,22.85496819,1053.047173,749.5355032,2312,452.9095334,293.0164322,233.3004351,87.41344113,794.8023681,0.74694727,1.792338822,0.641877271,1.248170751,404.7212418,1.789677331,324.2515028,0.688080835,0.358122729,1.67102927,225.806213,0.998515074,135.1300166,0.311919165,630.5274548,0.518028899,3.726421908,3.153693835,1.126212209,878.5777467,3.885070796,780.1174057,0.944929531,0.846306165,2.174033557,235.7697997,1.042574054,108.4480959,0.055070469,1114.347546,2.766123261,0.25,0.25,0.25,0.25,1,4,561.863015,248.2487746,-100,-100,503.4138319,0.978027682,0,-1.000460906,0,0,1053.047173,749.5355032,7036.009078,9175.954293,6141.766635,1959.998661,19.91602118,19.76511252,26540.85723,41970.90525,23273.99338,9045.164589,-1055.780774,-1056.029625,9.9,225,0.5,2,3,0.15,0.15,0.5,3,0.15,4.676747368,0.005046223,424.9923422,435.7949939,445.0782229,452.9963596,459.6745475,465.2148671,469.7013302,1.919915265,2.045345218,2.150673666,2.238791903,2.311921997,2.371789914,2.419749862,2.439608427,2.456873694,2.47164613,2.484015656,1.390195125,2.766123261,0.054691027,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+R&DGreenClimateFund,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,3001,2112,187.6569826,260.1621926,72.35104785,82.34427056,810.9346186,1.179688866,2.425151175,0.708042084,1.546501154,324.6242794,4.30646569,178.4225228,0.978190016,0.291957916,1.310939858,113.7787369,0.503129575,86.79172901,0.021809984,367.3889024,1.033604953,3.159109022,3.038255555,1.438172173,481.8952457,8.523763106,284.8135756,0.999647605,0.961744445,1.391413778,129.6602795,0.573357756,93.18599652,0.000352395,510.1149771,2.603367208,0.25,0.25,0.25,0.25,1,4,319.6468139,110.8791451,0.901997079,0.896564046,487.2815814,0.981054089,1,-0.340440158,48.71565372,50.56555859,2034.857677,2152.840864,2312,452.9099552,293.0162571,233.0413509,88.46820119,764.5472159,0.746946505,1.792342493,0.641877742,1.248170293,404.721694,1.789679331,324.2519841,0.688081464,0.358122258,1.671030369,225.8060028,0.998514144,135.1298019,0.311918536,630.5276968,0.52259749,3.661553311,3.141916925,1.128320937,876.7693689,3.877074149,777.0567225,0.943652157,0.858083075,2.159063063,239.4528481,1.058860494,110.9059074,0.056347843,1116.222217,3.057767302,0.25,0.25,0.25,0.25,1,4,561.8632306,248.6664044,-100,-100,533.6689841,0.971745352,0,-1.08021401,0,0,2034.857677,2152.840864,7036.008254,8900.157381,6141.765884,1942.635811,19.91596407,19.7633564,26540.8597,40552.10171,23273.99554,8897.078847,-1055.78104,-1056.036861,9.9,225,0.5,2,0,0.15,0,0.5,3,0.15,5.251774069,0.005235348,426.1314713,438.230536,448.868681,458.1466661,466.1640788,473.0116216,478.7690934,1.933291208,2.073194667,2.193050308,2.295284962,2.381975378,2.454843831,2.515300494,2.541242621,2.564495534,2.585170272,2.603367208,1.390195125,3.057767302,0.060658604,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+TechnologyPolicy.Both,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,3601,2112,187.6570248,260.1621345,72.64199416,81.61080476,821.795443,1.179688511,2.425152633,0.708042208,1.546500884,324.6243247,4.306466292,178.4225789,0.978190034,0.291957792,1.310940023,113.7786844,0.503129342,86.79167802,0.021809966,367.3888914,0.961075459,3.653918038,3.140509144,1.386962883,633.0264378,11.19697163,319.4883669,0.999976552,0.859490856,1.4431363,121.2721527,0.536265459,84.03374836,2.34E-05,535.2086317,2.490729912,0.25,0.25,0.25,0.25,1,4,319.6468037,113.2663788,0.902002697,0.896755227,476.420757,0.982968077,1,-0.228320134,38.37513945,31.55737392,1493.205032,1201.63678,2312,452.9087144,293.0170539,233.2418451,87.65672609,792.8859959,0.746949237,1.792329383,0.64187606,1.248171928,404.7203163,1.789673239,324.2504556,0.688079318,0.35812394,1.671026446,225.8068858,0.998518049,135.1306476,0.311920682,630.5272021,0.519081775,3.711320307,3.150981097,1.126696893,878.1653381,3.883247125,779.4157803,0.944638722,0.849018903,2.170557603,236.6180404,1.046324974,109.0125597,0.055361278,1114.783378,2.785109692,0.25,0.25,0.25,0.25,1,4,561.8627898,248.3458671,-100,-100,505.3302041,0.977653437,0,-1.009628359,0,0,1493.205032,1201.63678,7036.007865,9181.564997,6141.765529,1961.301741,19.91601813,19.76524273,26540.85458,41991.18854,23273.99095,9049.680816,-1055.780788,-1056.029443,9.9,225,0.5,2,0,0.15,0.15,0.5,3,0.15,4.708732849,0.005057471,425.0285663,435.9047313,445.2716562,453.2737079,460.0325356,465.649259,470.2078968,1.92034117,2.046603366,2.152844941,2.241850427,2.315812117,2.376453709,2.425136214,2.445339714,2.462940554,2.4780403,2.490729912,1.390195125,2.785109692,0.055026739,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+TraditionalGreenClimateFund+R&DS,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,4201,2112,187.6569402,260.1622518,72.658468,81.56889319,805.5979623,1.179689224,2.425149702,0.708041958,1.546501428,324.6242341,4.30646509,178.4224664,0.978189999,0.291958042,1.310939691,113.7787902,0.50312981,86.79178066,0.021810001,367.3889142,1.080586862,2.890376457,2.971821868,1.47230023,384.6359526,11.90602128,261.2483139,0.999987843,1.028178132,1.362500583,133.0746905,0.588456282,97.66945583,1.22E-05,489.0739382,2.657796891,0.25,0.25,0.25,0.25,1,4,319.6468249,108.1738123,0.901994203,0.896347508,492.6182377,0.980077345,1,-0.395298627,43.61310094,56.33218417,1769.004222,2441.379895,2312,452.9093767,293.016506,233.253316,87.61037242,752.3297352,0.746947569,1.792337386,0.641877087,1.24817093,404.7210723,1.789676582,324.2513205,0.688080592,0.358122913,1.671028841,225.8062994,0.998515456,135.130103,0.311919408,630.5273717,0.51888075,3.714196549,3.151499103,1.126604293,878.2451563,3.883600081,779.5506922,0.944694558,0.848500897,2.17122006,236.4562954,1.045609738,108.9048042,0.055305442,1114.701452,3.170876833,0.25,0.25,0.25,0.25,1,4,561.8629409,248.3276159,-100,-100,545.8864648,0.968976425,0,-1.082329675,0,0,1769.004222,2441.379895,7036.008658,8654.557773,6141.766253,1915.01207,19.91593569,19.76045648,26540.85614,39335.41965,23273.99239,8729.408343,-1055.781175,-1056.045437,9.9,225,0.5,2,3,0.15,0,0.5,3,0,5.518606883,0.00531395,426.8732086,439.6081058,450.8382481,460.6899335,469.2734846,476.6833073,482.9998312,1.941981669,2.088878175,2.214928647,2.322947932,2.415196029,2.493482975,2.559263979,2.587841697,2.613715994,2.637000209,2.657796891,1.390195125,3.170876833,0.063380088,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+CoR&DGreenClimateFund,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
1,4801,2112,187.6569996,260.1621695,72.71372775,81.42390973,813.5750818,1.179688724,2.425151758,0.708042133,1.546501046,324.6242976,4.306465933,178.4225453,0.978190024,0.291957867,1.310939924,113.7787159,0.503129482,86.79170866,0.021809976,367.3888982,1.022419347,3.228610535,3.054062802,1.4301543,482.7852915,14.94413591,286.9393169,0.999999433,0.945937198,1.398794246,127.1034376,0.562051401,90.86642868,5.67E-07,508.5889136,2.576215734,0.25,0.25,0.25,0.25,1,4,319.64681,110.5430077,0.901998473,0.896542784,484.6411182,0.981528499,1,-0.312180841,42.3110131,42.85616172,1700.421517,1767.829833,2312,452.9110244,293.015443,233.2920561,87.45086514,772.7361172,0.746943933,1.792354837,0.641879325,1.248168754,404.7229028,1.789684676,324.2533524,0.688083447,0.358120675,1.671034062,225.8051221,0.99851025,135.1289762,0.311916553,630.5280249,0.518189951,3.724105934,3.153278937,1.126286298,878.5168644,3.884801574,780.0120322,0.944885528,0.846721063,2.173500847,235.9000737,1.043150126,108.5346132,0.055114472,1114.416938,2.980495479,0.25,0.25,0.25,0.25,1,4,561.863523,248.2642334,-100,-100,525.4800828,0.97352545,0,-1.04146865,0,0,1700.421517,1767.829833,7036.008102,8874.690805,6141.765745,1936.911509,19.91597661,19.76277783,26540.86267,40461.69312,23273.99818,8877.128078,-1055.780978,-1056.037699,9.9,225,0.5,2,3,0.15,0,0.5,3,0.15,5.119750909,0.005193061,426.0083679,437.83843,448.148802,457.0825664,464.7587564,471.2763092,476.7178819,1.931847421,2.06872156,2.185029785,2.283665218,2.36688825,2.436477701,2.493845406,2.518308356,2.540121207,2.559391415,2.576215734,1.390195125,2.980495479,0.05930103,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,Nordhaus+CoR&DGreenClimateFund+TecS,7656.385141,10465.10074,6822.604799,2331.362818,0.002908592,25.08040323,0.209433346,28843.54133,12407.70917,Failure,Failure,Failure
2,2,2112,162.4732356,348.8059921,40.84495842,150.4429498,403.8695265,1.668427779,0.241256688,0.194364864,1.803422924,76.14384304,0.336708074,42.22184492,0.25751315,0.805635136,1.080911591,315.6133978,1.395642445,291.9881705,0.74248685,391.7572409,2.395390737,0.088343922,0.324691196,2.469517915,51.12075986,0.226056,20.70070419,0.088445746,3.675308804,1.030945756,578.6562166,2.55881779,561.286773,0.911554254,629.7769765,5.637834269,0.25,0.25,0.25,0.25,1,4,349.0948773,140.2985659,0.605383361,0.602550645,894.3466735,0.913938351,0,-7.778229709,0,0,0,0,2312,186.4098163,826.4022099,43.81469238,420.9099653,-3021.802367,2.712090661,0.062571579,0.058886931,2.771999534,50.27742219,0.222326761,18.13760124,0.034528481,0.941113069,1.022089554,803.51851,3.553158851,786.1527465,0.965471519,853.7959322,4.553250307,0.014836414,0.058478052,4.577455179,24.80954421,0.109707804,5.419942575,0.000685423,3.941521948,1.005315955,1672.206227,7.394495936,1663.36386,0.999314577,1697.015771,7.5,0.25,0.25,0.25,0.25,1,4,760.8175552,378.0526885,-100,-100,4320.018567,0,0,-29.95700772,0,0,0,0,7078.539728,9893.102123,6307.686751,2203.935825,16.49446009,16.37953038,30502.23731,54050.62592,27180.54367,12041.12819,-3179.170113,-3179.304578,0,0,0,0,0,0,0,0,0,0,25.60502867,0.002828504,447.1489741,485.7050466,528.6659512,576.2950032,628.8650545,686.6584028,749.9668921,2.173868818,2.587173698,3.010700027,3.441760448,3.877988214,4.317330335,4.75803105,4.978418049,5.198609476,5.418459008,5.637834269,1.390195125,7.5,0.212381957,3.777777778,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,7078.539728,9893.102123,6307.686751,2203.935825,0.002828504,25.60502867,0.212381957,27180.54367,12041.12819,Failure,Failure,Failure
