"bin.type","Future.ID","Policy.Start.Time","Policy.Duration","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","Total.Policy.Cost.100","bin.type.1","epsilon","rho","Climate.Model","Beta.Delta.Temp","Relative.Gamma","Relative.Eta","Relative.Nu","policy.Stabilization","density.Stabilization","coverage.Stabilization","policy.Stabilization.Cost.Zero","density.Stabilization.Cost.Zero","coverage.Stabilization.Cost.Zero","policy.Stabilization.Cost.5Percent","density.Stabilization.Cost.5Percent","coverage.Stabilization.Cost.5Percent","policy.Stabilization.Cost.10Percent","density.Stabilization.Cost.10Percent","coverage.Stabilization.Cost.10Percent","policy.Stabilization.Cost.15Percent","density.Stabilization.Cost.15Percent","coverage.Stabilization.Cost.15Percent","policy.Stabilization.Cost.20Percent","density.Stabilization.Cost.20Percent","coverage.Stabilization.Cost.20Percent","policy.Stabilization.Cost.25Percent","density.Stabilization.Cost.25Percent","coverage.Stabilization.Cost.25Percent","policy.Stabilization.Cost.30Percent","density.Stabilization.Cost.30Percent","coverage.Stabilization.Cost.30Percent","policy.Temp.Threshold.2C","density.Temp.Threshold.2C","coverage.Temp.Threshold.2C","policy.Temp.Threshold.2C.Cost.Zero","density.Temp.Threshold.2C.Cost.Zero","coverage.Temp.Threshold.2C.Cost.Zero","policy.Temp.Threshold.2C.Cost.5Percent","density.Temp.Threshold.2C.Cost.5Percent","coverage.Temp.Threshold.2C.Cost.5Percent","policy.Temp.Threshold.2C.Cost.10Percent","density.Temp.Threshold.2C.Cost.10Percent","coverage.Temp.Threshold.2C.Cost.10Percent","policy.Temp.Threshold.2C.Cost.15Percent","density.Temp.Threshold.2C.Cost.15Percent","coverage.Temp.Threshold.2C.Cost.15Percent","policy.Temp.Threshold.2C.Cost.20Percent","density.Temp.Threshold.2C.Cost.20Percent","coverage.Temp.Threshold.2C.Cost.20Percent","policy.Temp.Threshold.2C.Cost.25Percent","density.Temp.Threshold.2C.Cost.25Percent","coverage.Temp.Threshold.2C.Cost.25Percent","policy.Temp.Threshold.2C.Cost.30Percent","density.Temp.Threshold.2C.Cost.30Percent","coverage.Temp.Threshold.2C.Cost.30Percent","least.cost.policy","objective","Link","T"
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",250,9.9,110,0.5,0,0,0,0,0.5,0,0,-0.164369478782029,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",10,0.015,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",240,9.9,110,0.5,0,0,0,0,0.5,0,0,-0.164369478782029,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",10,0.0115,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",239,9.9,115,0.5,0,0,0,0,0.5,0,0,-0.168944900069635,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",9.222222222,0.0115,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",248,9.9,145,0.5,0,0,0,0,0.5,0,0,-0.172269227686564,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",8.444444444,0.015,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",249,9.9,115,0.5,0,0,0,0,0.5,0,0,-0.168944900069635,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",9.222222222,0.015,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",247,9.9,175,0.5,0,0,0,0,0.5,0,0,-0.173451846341806,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",7.666666667,0.015,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",237,9.9,175,0.5,0,0,0,0,0.5,0,0,-0.173451846341806,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",7.666666667,0.0115,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",89,9.9,115,0.5,0,0,0,0,0.5,0,0,-0.168945078534666,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",9.222222222,0.0115,"GFDL-CM3",6.110394674,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",290,9.9,110,0.5,0,0,0,0,0.5,0,0,-0.164369583142249,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",10,0.0115,"MIROC-ESM-CHEM",6.130331874,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
"high.epsilon high.eta high.gamma high.nu high.beta high.rho",238,9.9,145,0.5,0,0,0,0,0.5,0,0,-0.172269227686564,"high.epsilon high.eta high.gamma high.nu high.beta high.rho",8.444444444,0.0115,"MIROC-ESM",5.931536512,1,1,1,"P4",0.583333333333333,0.0717948717948718,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0717948717948718,"P4",0.583333333333333,0.0264150943396226,"other",0,0,"other",0,0,"other",0,0,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,"P4",0.583333333333333,0.0264150943396226,5,"Stabilization","link",-3
